date,value
2019-01-01,27565
2019-01-02,27565
2019-01-03,27565
2019-01-04,27565
2019-01-05,27565
2019-01-06,27565
2019-01-07,27565
2019-01-08,27565
2019-01-09,27565
2019-01-10,27564
2019-01-11,27564
2019-01-12,27563
2019-01-13,27562
2019-01-14,27561
2019-01-15,27560
2019-01-16,27559
2019-01-17,27558
2019-01-18,27557
2019-01-19,27556
2019-01-20,27556
2019-01-21,27555
2019-01-22,27554
2019-01-23,27553
2019-01-24,27552
2019-01-25,27551
2019-01-26,27552
2019-01-27,27549
2019-01-28,27548
2019-01-29,27548
2019-01-30,27547
2019-01-31,27546
2019-02-01,27545
2019-02-02,27544
2019-02-03,27543
2019-02-04,27542
2019-02-05,27541
2019-02-06,27543
2019-02-07,27542
2019-02-08,27539
2019-02-09,27538
2019-02-10,27539
2019-02-11,27541
2019-02-12,27541
2019-02-13,27542
2019-02-14,27543
2019-02-15,27544
2019-02-16,27545
2019-02-17,27546
2019-02-18,27547
2019-02-19,27548
2019-02-20,27549
2019-02-21,27550
2019-02-22,27551
2019-02-23,27551
2019-02-24,27552
2019-02-25,27553
2019-02-26,27554
2019-02-27,27555
2019-02-28,27556
